"","x"
"1",-0.0992003
"2",-0.6012986
"3",0.7998003
"4",-0.79440959
"5",0.7979992
"6",-0.81954047
"7",0.80519638
"8",-0.71911745
"9",0.77643646
"10",-1.12040796
"11",0.89136113
"12",0.21630258
"13",-1.03118546
"14",0.86580891
"15",0.12661612
"16",-1.18178968
"17",0.92907773
"18",0.14120794
"19",0.02081618
"20",-0.90981688
"21",0.86850842
"22",0.16428271
"23",-1.27861667
"24",0.95064144
"25",0.09827408
"26",0.19644987
"27",-0.75306859
"28",0.78615965
"29",-0.98473917
"30",0.85250726
"31",-0.05898332
"32",-0.7046817
"33",0.82282409
"34",-0.47315607
"35",0.36000433
"36",-0.71964865
"37",0.82615727
"38",-0.42664761
"39",0.24044819
"40",-0.48065595
"41",0.77293276
"42",-1.16929559
"43",0.90536195
"44",0.18842662
"45",-0.64067082
"46",0.75397031
"47",-1.43388077
"48",0.9811359
"49",0.03755888
"50",0.07508021
"51",0.15008534
"52",-0.10354729
"53",-0.59012409
"54",0.79731169
"55",-0.82913333
"56",0.80794365
"57",-0.68078435
"58",0.76545833
"59",-1.27358705
"60",0.93522975
"61",0.12895913
"62",0.19240999
"63",-1.35092157
"64",0.966744
"65",0.0662135
"66",0.13236077
"67",0.14475633
"68",-1.22842149
"69",0.9394628
"70",0.12053102
"71",0.24094152
"72",-1.37635261
"73",0.96466054
"74",0.07036172
"75",0.14065307
"76",0.02858942
"77",-0.92979905
"78",0.87295852
"79",0.22637549
"80",-1.4382344
"81",0.98618888
"82",0.02749827
"83",0.05496905
"84",0.10988314
"85",0.21965638
"86",-1.07816887
"87",0.87926438
"88",0.24038751
"89",-1.36859162
"90",0.96243789
"91",0.07478707
"92",0.14949935
"93",-0.09533819
"94",-0.61122667
"95",0.80201132
"96",-0.76355903
"97",0.78916398
"98",-0.94281936
"99",0.84050194
"100",-0.22649489
"101",-0.27407096
"102",0.54786785
"103",-1.09518784
"104",0.90979119
"105",0.1796079
"106",-0.51712926
"107",0.47304327
"108",-0.9456135
"109",0.87648045
"110",0.24593038
"111",-1.44624161
"112",0.98467589
"113",0.03051067
"114",0.06099082
"115",0.12192066
"116",0.2437194
"117",-1.41526799
"118",0.97580542
"119",0.04817197
"120",0.09629578
"121",0.19249525
"122",-0.69766828
"123",0.77029368
"124",-1.20611885
"125",0.91590768
"126",0.16742982
"127",-0.34652641
"128",0.034486
"129",-0.06893752
"130",0.13780611
"131",-0.27547441
"132",0.55067334
"133",-1.100796
"134",0.91104015
"135",0.17712119
"136",-0.48229299
"137",0.38349202
"138",-0.76660054
"139",0.83661363
"140",-0.28074896
"141",-0.13460366
"142",0.26907273
"143",-0.53787638
"144",0.78567595
"145",-0.99148834
"146",0.85444014
"147",-0.03201362
"148",-0.77401088
"149",0.83826394
"150",-0.25772201
"151",-0.19379752
"152",0.38740125
"153",-0.7744151
"154",0.83835396
"155",-0.2564659
"156",-0.1970265
"157",0.39385598
"158",-0.78731811
"159",0.8412275
"160",-0.21637098
"161",-0.3000958
"162",0.59989149
"163",-1.19918308
"164",0.9329513
"165",0.13349557
"166",0.12885895
"167",-1.18755518
"168",0.93036173
"169",0.13865148
"170",0.05662978
"171",-1.00188052
"172",0.88901132
"173",0.22098112
"174",-1.09672721
"175",0.88457926
"176",0.22980546
"177",-1.22034751
"178",0.9199826
"179",0.15931657
"180",-0.23286775
"181",-0.25768868
"182",0.51511968
"183",-1.02972425
"184",0.89521222
"185",0.20863499
"186",-0.92377013
"187",0.83504648
